permutation_type,permutations,seed,RMSE,Rsquared,MAE,Resample
response,1,43,6.214912117472171,0.017868956489974438,4.782086867014119,Bootstrap01
response,1,43,6.488757007154743,0.09329897147718004,5.131717381416702,Bootstrap02
response,1,43,7.920227102762988,0.024154020909212422,6.156048347400546,Bootstrap03
response,1,43,5.197382899118019,0.002917170804651496,3.931110651912219,Bootstrap04
response,1,43,11.557543470690904,0.12458071821705502,10.989255056337493,Bootstrap05
response,1,43,6.576929561532371,0.03399567377005253,4.887883601842614,Bootstrap06
response,1,43,5.918521392653316,9.977546987123003e-4,5.325421774038645,Bootstrap07
response,1,43,6.3496225418542975,0.19647130181014172,3.973966202412399,Bootstrap08
response,1,43,4.905728300934232,0.007914481255229207,3.176977549096148,Bootstrap09
response,1,43,10.119092247243671,0.08303886562956095,8.520747074011648,Bootstrap10
response,2,44,4.819227378837927,0.05355986346716676,3.6106240735815827,Bootstrap01
response,2,44,8.731893083806488,0.0096767611585164455,7.190388349388503,Bootstrap02
response,2,44,7.5354722804149645,0.08541486863759704,6.179936129610444,Bootstrap03
response,2,44,2.3083224793811645,0.4520883648824365,1.801633352517832,Bootstrap04
response,2,44,6.833940873791613,0.0017604711437254495,5.761308311750754,Bootstrap05
response,2,44,8.37572599839887,0.07294650408498185,7.020820149114071,Bootstrap06
response,2,44,7.728519456647665,0.07225023996840714,5.985274628015597,Bootstrap07
response,2,44,8.156090377623793,0.3779829964508053,6.060951440187604,Bootstrap08
response,2,44,9.685601365890882,0.0067697488824777175,8.081760345056344,Bootstrap09
response,2,44,10.263533311900037,0.014604541401211226,7.872658401395854,Bootstrap10
response,3,45,8.239015512891882,0.1506836203028567,6.087851456797075,Bootstrap01
response,3,45,5.2866640643050085,0.6379507867372985,4.188880719468839,Bootstrap02
response,3,45,9.478905916723871,0.017273707390699826,7.571479833568647,Bootstrap03
response,3,45,6.964679461944159,0.0835282398275831,5.686788353543246,Bootstrap04
response,3,45,2.6147691570502802,0.46841992673693506,2.396433783787526,Bootstrap05
response,3,45,10.595657746021953,0.023976246268146702,8.342313051167455,Bootstrap06
response,3,45,8.804620132985596,0.05704002476085277,5.961246132767326,Bootstrap07
response,3,45,6.463920578193584,0.16316227065547131,4.717447402068703,Bootstrap08
response,3,45,9.075208422366476,0.050115289241437815,8.068408407050978,Bootstrap09
response,3,45,7.857069583553631,0.034170563758923585,6.829481698559611,Bootstrap10
response,4,46,5.131306096403804,0.3254072556354007,4.419006482463305,Bootstrap01
response,4,46,6.593042653523917,0.19754096908765734,5.670378298180471,Bootstrap02
response,4,46,8.77561771998049,0.05950762379745883,6.579711030357043,Bootstrap03
response,4,46,6.303538611142917,0.08918327076579223,5.547490059510139,Bootstrap04
response,4,46,5.171036782143691,0.19955731763866702,4.744103822946357,Bootstrap05
response,4,46,5.997394540350234,0.14738609267958508,4.577836150899821,Bootstrap06
response,4,46,7.3611035136530525,0.22588234867285464,5.3077850426700754,Bootstrap07
response,4,46,7.708970378592747,0.018418453643738775,6.638061217882006,Bootstrap08
response,4,46,5.692917863045837,0.4854316689540622,5.3381240310601115,Bootstrap09
response,4,46,7.4569173639427255,0.010573461073631685,5.851327216825985,Bootstrap10
response,5,47,9.161204143648867,0.10198110096277178,7.527450138580124,Bootstrap01
response,5,47,6.527324537835118,0.40300685333951464,5.076162254572588,Bootstrap02
response,5,47,10.028879973159356,0.4067263945102274,7.093851329825229,Bootstrap03
response,5,47,6.567637224036794,0.05190344656511039,5.35728366010839,Bootstrap04
response,5,47,6.476729550106791,0.10276141771306782,4.772709063310995,Bootstrap05
response,5,47,9.214364582168692,0.1172415934062798,7.876315646952395,Bootstrap06
response,5,47,10.241030015586986,0.060718566445598206,7.205969973836229,Bootstrap07
response,5,47,6.267827340523875,0.11633557526517631,5.874134596113886,Bootstrap08
response,5,47,5.135799359023503,0.22244601023359703,4.429967414892882,Bootstrap09
response,5,47,6.179885714797275,0.004869833928838282,4.634786484604468,Bootstrap10
response,6,48,6.237924789579841,0.032992031960012456,3.821620281848645,Bootstrap01
response,6,48,7.389494020777157,0.01212832445739056,6.140424932422942,Bootstrap02
response,6,48,9.880137249060503,0.2961120289837032,8.077794793264378,Bootstrap03
response,6,48,6.054497123163756,0.04314422161012411,4.7490754558206945,Bootstrap04
response,6,48,7.1497716118295624,0.19838248827855018,5.791557168058358,Bootstrap05
response,6,48,9.308138780521835,0.38567737472040714,7.576779422777319,Bootstrap06
response,6,48,8.168869789437428,0.6917659601217967,7.30094204312487,Bootstrap07
response,6,48,10.17242470170462,0.8667640924266438,7.812242903671767,Bootstrap08
response,6,48,7.506338994334592,0.24654232433800322,5.662866845408876,Bootstrap09
response,6,48,8.849132994857573,0.2003617382638138,7.10136192470152,Bootstrap10
response,7,49,7.666615778677055,0.055077195651158865,6.72258544814789,Bootstrap01
response,7,49,7.332382262101593,0.5941497993134088,5.904949026200583,Bootstrap02
response,7,49,7.802262315371955,0.004633927971891481,7.291622396627929,Bootstrap03
response,7,49,8.06488131128522,0.14470511680780165,6.556573564232102,Bootstrap04
response,7,49,10.810904799775352,0.7203078251058155,9.817054917619146,Bootstrap05
response,7,49,6.981457253117399,0.024949326594003594,6.093765483130594,Bootstrap06
response,7,49,8.376900586790192,0.14976107297593988,7.2143426296716155,Bootstrap07
response,7,49,7.535431498661646,0.16977847461178308,6.394764949174804,Bootstrap08
response,7,49,5.3597829804817305,0.199151966334499,4.303685935696284,Bootstrap09
response,7,49,6.697574057412092,0.05270205494254338,5.48090337968099,Bootstrap10
response,8,50,6.991973426244762,0.1133030816239691,5.8538360390003445,Bootstrap01
response,8,50,8.650625031451058,0.023943717878993003,7.43102488062356,Bootstrap02
response,8,50,7.712315153487733,0.05094312822567378,7.120239450429912,Bootstrap03
response,8,50,7.070652214168735,0.1721352393365595,5.998369389030294,Bootstrap04
response,8,50,7.683492063613696,0.01834527505428415,5.880407370347324,Bootstrap05
response,8,50,9.972112085181791,0.6734801212994571,8.085670293192212,Bootstrap06
response,8,50,4.3158525833590025,0.0071076888749189064,4.031041693872203,Bootstrap07
response,8,50,9.033402645832696,0.007325652087748236,6.604495886546953,Bootstrap08
response,8,50,11.926992632929732,0.5306059309251131,9.812624921707586,Bootstrap09
response,8,50,8.642169381701454,0.1695371561557766,7.147723794670901,Bootstrap10
response,9,51,5.3414183493004534,0.3250681065344524,4.46585399240756,Bootstrap01
response,9,51,7.195727542393073,0.020910356264515984,5.941473246560578,Bootstrap02
response,9,51,8.536402619896052,0.4790321164419584,6.9080144347902905,Bootstrap03
response,9,51,8.899909121177348,0.1689179899959057,7.876742291230793,Bootstrap04
response,9,51,11.36858701191438,0.22818075539644883,9.395433397900256,Bootstrap05
response,9,51,7.842810544498713,0.15308696201242955,6.713201167279135,Bootstrap06
response,9,51,8.378600846857566,0.513453232040325,6.602645043536244,Bootstrap07
response,9,51,7.905217164903078,0.006658215846191074,7.105660526670373,Bootstrap08
response,9,51,9.619834262488268,0.24675463872226755,8.22548202326571,Bootstrap09
response,9,51,7.0894913656007095,0.03146572582164771,4.692977329287504,Bootstrap10
response,10,52,7.804601255943769,0.26547165688395313,5.341944157321434,Bootstrap01
